genes,comprehensive,Delta_CT,BestKeeper,normFinder,Genorm
Tbp,1.41,0.785,0.122,0.198,0.369
Rer1,2.21,0.787,0.27,0.21,0.269
Rpl13,2.63,0.798,0.316,0.334,0.219
Rps18,3.66,0.801,0.283,0.268,0.416
Ubc,3.66,0.884,0.433,0.52,0.219
B2m,5.48,0.844,0.436,0.498,0.443
Gusb,7.24,0.956,0.612,0.76,0.501
Hprt,8.43,1.155,0.548,0.858,0.687
Tubb5,8.49,1.033,0.712,0.879,0.542
Actb,9.74,1.169,0.73,1.038,0.596
Pgk1,11.24,1.315,0.995,1.139,0.833
Gapdh,11.74,1.327,0.98,1.15,0.925
Sdha,13,1.676,1.362,1.6,1.041