date,PPARG,Ucp1,Rer1,Sdha,Tbp,Ubc
D0,23.04,35.05,20.33,19.67,22.13,16.27
D0,23.08,34.9,20.53,19.88,22.26,16.45
D0,23.1,34.66,20.66,20,22.24,16.42
D0_Nore,22.54,33.44,20.18,19.94,22.04,16.45
D0_Nore,22.18,33.63,20.13,19.68,22.15,16.36
D0_Nore,22.45,33.81,20.3,19.86,22.05,16.42
D8,18.34,16.98,21.29,16.53,22.24,16.43
D8,18.28,17.01,21.21,16.43,22.17,16.54
D8,18.52,17.05,21.35,16.6,22.12,16.57
D8_Nore,18.12,14.84,20.87,16.58,22.38,16.53
D8_Nore,18.2,14.87,21.05,16.68,22.26,16.66
D8_Nore,18.29,14.76,20.87,16.43,22.13,16.46